"Visit your Insights Store";"Visit your Insights Showroom"
"How many ads will be shown on a store album\'s create store?";"How many ads will be shown on a Showroom album\'s create Showroom?"
"Store Album\'s Edit Photos Store";"Showroom Album\'s Edit Photos Showroom"
"How many ads will be shown on a store album\'s edit photos store?";"How many ads will be shown on a Showroom album\'s edit photos Showroom?"
"Store Profile Discussions Widget";"Showroom Profile Discussions Widget"
"How many ads will be shown in store profile discussions widget?";"How many ads will be shown in Showroom profile discussions widget?"
"Store Discussion\'s View Store";"Showroom Discussion\'s View Showroom"
"How many ads will be shown on a store dicussion\'s view store?";"How many ads will be shown on a Showroom dicussion\'s view Showroom?"
"Store Discussion\'s Create Store";"Showroom Discussion\'s Create Showroom"
"How many ads will be shown on a store dicussion\'s create store?";"How many ads will be shown on a Showroom dicussion\'s create Showroom?"
"Store Discussion\'s Post Reply Store";"Showroom Discussion\'s Post Reply Showroom"
"How many ads will be shown on a dicussion\'s post reply store?";"How many ads will be shown on a dicussion\'s post reply Showroom?"
"Store Profile Documents Widget";"Showroom Profile Documents Widget"
"How many ads will be shown in store profile documents widget?";"How many ads will be shown in Showroom profile documents widget?"
"Store Document\'s View Store";"Showroom Document\'s View Showroom"
"How many ads will be shown on a Store document\'s view store?";"How many ads will be shown on a Showroom document\'s view Showroom?"
"Store Document\'s Create Store";"Showroom Document\'s Create Showroom"
"How many ads will be shown on a Store document\'s create store?";"How many ads will be shown on a Showroom document\'s create Showroom?"
"Store Document\'s Edit Store";"Showroom Document\'s Edit Showroom"
"How many ads will be shown on a Store document\'s edit store?";"How many ads will be shown on a Showroom document\'s edit Showroom?"
"Store Document\'s Delete Store";"Showroom Document\'s Delete Showroom"
"How many ads will be shown on a Store document\'s delete store?";"How many ads will be shown on a Showroom document\'s delete Showroom?"
"Store Profile Videos Widget";"Showroom Profile Videos Widget"
"How many ads will be shown in store profile videos widget?";"How many ads will be shown in Showroom profile videos widget?"
"Store Video\'s View Store";"Showroom Video\'s View Showroom"
"How many ads will be shown on a store video\'s view store?";"How many ads will be shown on a Showroom video\'s view Showroom?"
"Store Video\'s Create Store";"Showroom Video\'s Create Showroom"
"How many ads will be shown on a store video\'s create store?";"How many ads will be shown on a Showroom video\'s create Showroom?"
"Store Video\'s Edit Store";"Showroom Video\'s Edit Showroom"
"How many ads will be shown on a store video\'s edit store?";"How many ads will be shown on a Showroom video\'s edit Showroom?"
"Store Video\'s Delete Store";"Showroom Video\'s Delete Showroom"
"How many ads will be shown on a store video\'s delete store?";"How many ads will be shown on a Showroom video\'s delete Showroom?"
"Store Profile Polls Widget";"Showroom Profile Polls Widget"
"How many ads will be shown in store profile polls widget?";"How many ads will be shown in Showroom profile polls widget?"
"Store Poll\'s View Store";"Showroom Poll\'s View Showroom"
"How many ads will be shown on a store poll\'s view store?";"How many ads will be shown on a Showroom poll\'s view Showroom?"
"Store Poll\'s Create Store";"Showroom Poll\'s Create Showroom"
"How many ads will be shown on a store poll\'s create store?";"How many ads will be shown on a Showroom poll\'s create Showroom?"
"Store Poll\'s Delete Store";"Showroom Poll\'s Delete Showroom"
"How many ads will be shown on a store poll\'s delete store?";"How many ads will be shown on a Showroom poll\'s delete Showroom?"
"Store Profile Reviews Widget";"Showroom Profile Reviews Widget"
"How many ads will be shown in store profile reviews widget?";"How many ads will be shown in Showroom profile reviews widget?"
"Store Review\'s Create Store";"Showroom Review\'s Create Showroom"
"How many ads will be shown on a store review\'s create store?";"How many ads will be shown on a Showroom review\'s create Showroom?"
"Store Review\'s Edit Store";"Showroom Review\'s Edit Showroom"
"How many ads will be shown on a store review\'s edit store?";"How many ads will be shown on a Showroom review\'s edit Showroom?"
"Store Review\'s Delete Store";"Showroom Review\'s Delete Showroom"
"How many ads will be shown on a store review\'s delete store?";"How many ads will be shown on a Showroom review\'s delete Showroom?"
"Store Profile Offers Widget";"Showroom Profile Offers Widget"
"How many ads will be shown in store profile offers widget?";"How many ads will be shown in Showroom profile offers widget?"
"Store Offers Browse Store";"Showroom Offers Browse Showroom"
"How many ads will be shown on store offers browse store?";"How many ads will be shown on Showroom offers browse Showroom?"
"Store Profile Form Widget";"Showroom Profile Form Widget"
"How many ads will be shown in store profile form widget?";"How many ads will be shown in Showroom profile form widget?"
"Form Add Question Store";"Form Add Question Showroom"
"How many ads will be shown on form\'s add question store?";"How many ads will be shown on form\'s add question Showroom?"
"Invite Friends Store";"Invite Friends Showroom"
"How many ads will be shown on invite friends store?";"How many ads will be shown on invite friends Showroom?"
"Badges View Store";"Badges View Showroom"
"How many ads will be shown on a badge\'s view store?";"How many ads will be shown on a badge\'s view Showroom?"
"Store Profile Map Widget";"Showroom Profile Map Widget"
"How many ads will be shown in store profile map widget?";"How many ads will be shown in Showroom profile map widget?"
"Store Profile Overview Widget";"Showroom Profile Overview Widget"
"How many ads will be shown in store profile overview widget?";"How many ads will be shown in Showroom profile overview widget?"
"Store Profile Info Widget";"Showroom Profile Info Widget"
"How many ads will be shown in store profile info widget?";"How many ads will be shown in Showroom profile info widget?"
"Claim Store";"Claim Showroom"
"How many ads will be shown on claim store?";"How many ads will be shown on claim Showroom?"
"Browse Tags Store";"Browse Tags Showroom"
"How many ads will be shown on browse tags store?";"How many ads will be shown on browse tags Showroom?"
"Album Cover";"Album Cover"
"Edit Album";"Edit Album"
"Album Title";"Album Title"
"Delete Album?";"Delete Album?"
"Are you sure that you want to delete this album?";"Are you sure that you want to delete this album?"
"Delete Album";"Delete Album"
"Tag Post Privacy";"Tag Post Privacy"
"Store Reports";"Showroom Reports"
"You can view performance reports of your store over multiple durations and time intervals. The generated reports include statistics like views, likes, comments and active users. You can also export and save the reports.";"You can view performance reports of your Showroom over multiple durations and time intervals. The generated reports include statistics like views, likes, comments and active users. You can also export and save the reports."
"Monthly";"Monthly"
"Daily";"Daily"
"To";"To"
"From";"From"
"Format";"Format"
"Generate Report";"Generate Report"
"Webstore (.html)";"WebShowroom (.html)"
"Excel (.xls)";"Excel (.xls)"
"January";"January"
"February";"February"
"March";"March"
"April";"April"
"May";"May"
"June";"June"
"July";"July"
"August";"August"
"September";"September"
"October";"October"
"November";"November"
"December";"December"
"Cumulative";"Cumulative"
"Change in";"Change in"
"Metric";"Metric"
"Active Users";"Active Users"
"Views";"Views"
"Likes";"Likes"
"This week";"This week"
"This month";"This month"
"This year";"This year"
"By Day";"By Day"
"Filter";"Filter"
"Store Description <span>(meta tag)</span>";"Showroom Description <span>(meta tag)</span>"
"Store Keywords <span>(meta tag)</span>";"Showroom Keywords <span>(meta tag)</span>"
"Add New Photos";"Add New Photos"
"Browse and choose photos on your system to add to this store. (2MB maximum)";"Browse and choose photos on your system to add to this Showroom. (2MB maximum)"
"Save Photos";"Save Photos"
"Image Description";"Image Description"
"Delete Photo";"Delete Photo"
"Edit Photo";"Edit Photo"
"Caption";"Caption"
"Are you sure that you want to delete this photo?";"Are you sure that you want to delete this photo?"
"Delete Photo?";"Delete Photo?"
"submit";"submit"
"Browse and choose photos on your system to add to this album.";"Browse and choose photos on your system to add to this album."
"Choose Album";"Choose Album"
"Create A New Album";"Create A New Album"
"Edit Post";"Edit Post"
"Delete Post?";"Delete Post?"
"Delete Post";"Delete Post"
"Are you sure that you want to delete this post?";"Are you sure that you want to delete this post?"
"Post your reply to this topic below.";"Post your reply to this topic below."
"Body";"Body"
"Send me notifications when other members reply to this topic.";"Send me notifications when other members reply to this topic."
"Rename Topic";"Rename Topic"
"Delete Topic?";"Delete Topic?"
"Are you sure that you want to delete this topic?";"Are you sure that you want to delete this topic?"
"Delete Topic";"Delete Topic"
"Post Discussion Topic";"Post Discussion Topic"
"Message";"Message"
"Post Topic";"Post Topic"
"Unhide All Photos";"Unhide All Photos"
"Unhide all photos from the photo strip on top of Store profile and reset the photo strip.";"Unhide all photos from the photo strip on top of Showroom profile and reset the photo strip."
"Unhide All";"Unhide All"
"Please fill the form given below and send it to your friends. Through this you can let them know about this Store.";"Please fill the form given below and send it to your friends. Through this you can let them know about this Showroom."
"Your Name *";"Your Name *"
"Your Email *";"Your Email *"
"To *";"To *"
"Message *";"Message *"
"You can send a personal note in the mail.";"You can send a personal note in the mail."
"Send a copy to my email address.";"Send a copy to my email address."
"Please type the characters you see in the image.";"Please type the characters you see in the image."
"Edit Store Style";"Edit Showroom Style"
"Edit the CSS style of your store using the text area below, and then click ""Save Style"" to save changes.";"Edit the CSS style of your Showroom using the text area below, and then click ""Save Style"" to save changes."
"Custom Advanced Store Style";"Custom Advanced Showroom Style"
"Add your own CSS code above to give your store a more personalized look.";"Add your own CSS code above to give your Showroom a more personalized look."
"Save Style";"Save Style"
"Store Profile Type";"Showroom Profile Type"
"Name";"Name"
"Within Kilometers";"Within Kilometers"
"1 Kilometer";"1 Kilometer"
"2 Kilometers";"2 Kilometers"
"5 Kilometers";"5 Kilometers"
"10 Kilometers";"10 Kilometers"
"20 Kilometers";"20 Kilometers"
"50 Kilometers";"50 Kilometers"
"100 Kilometers";"100 Kilometers"
"250 Kilometers";"250 Kilometers"
"500 Kilometers";"500 Kilometers"
"750 Kilometers";"750 Kilometers"
"1000 Kilometers";"1000 Kilometers"
"Within Miles";"Within Miles"
"1 Mile";"1 Mile"
"2 Miles";"2 Miles"
"5 Miles";"5 Miles"
"10 Miles";"10 Miles"
"20 Miles";"20 Miles"
"50 Miles";"50 Miles"
"100 Miles";"100 Miles"
"250 Miles";"250 Miles"
"500 Miles";"500 Miles"
"750 Miles";"750 Miles"
"1000 Miles";"1000 Miles"
"Search Stores";"Search Showrooms"
"Badge";"Badge"
"Browse By";"Browse By"
"Most Recent";"Most Recent"
"Most Viewed";"Most Viewed"
"Most Commented";"Most Commented"
"Most Liked";"Most Liked"
"Alphabetical";"Alphabetical"
"Everyone's Stores";"Everyone's Showrooms"
"Only My Friends' Stores";"Only My Friends' Showrooms"
"Stores I Like";"Showrooms I Like"
"Show";"Show"
"Only Stores With Photos";"Only Showrooms With Photos"
"Stores With Offers";"Showrooms With Offers"
"Edit Profile Picture";"Edit Profile Picture"
"Current Photo";"Current Photo"
"Choose New Photo";"Choose New Photo"
"Remove Photo";"Remove Photo"
"Overview enables you to create a rich profile for your Store using the editor below. Compose the overview and click ""Save Overview"" to save it.";"Overview enables you to create a rich profile for your Showroom using the editor below. Compose the overview and click ""Save Overview"" to save it."
"Save Overview";"Save Overview"
"Formatted Address";"Formatted Address"
"Latitude";"Latitude"
"Longitude";"Longitude"
"Street Address";"Street Address"
"Zipcode";"Zipcode"
"Country";"Country"
"Are you sure you want to hide this photo?";"Are you sure you want to hide this photo?"
"Hiding a photo only removes it from your profile store. People you've allowed will still be able to view this photo on your photos store.";"Hiding a photo only removes it from your profile Showroom. People you've allowed will still be able to view this photo on your photos Showroom."
"Hide Photo";"Hide Photo"
"This button will enable visitors on your store to add your place or tip to their foursquare To-Do List.";"This button will enable visitors on your Showroom to add your place or tip to their foursquare To-Do List."
"This button will enable visitors on your Store to add your place or tip to their foursquare To-Do List. (Note that this will be visible on your Store only if you have added location information for it.)";"This button will enable visitors on your Showroom to add your place or tip to their foursquare To-Do List. (Note that this will be visible on your Showroom only if you have added location information for it.)"
"Show 'Save to foursquare' Button on your Store.";"Show 'Save to foursquare' Button on your Showroom."
"Save to foursquare";"Save to foursquare"
"Edit Profile Question";"Edit Profile Question"
"Question Type";"Question Type"
"Question Label";"Question Label"
"Description";"Description"
"Inline CSS";"Inline CSS"
"Custom Error Message";"Custom Error Message"
"Required?";"Required?"
"Not Required";"Not Required"
"Required";"Required"
"Show on Browse Members Store?";"Show on Browse Members Showroom?"
"Hide on Browse Members";"Hide on Browse Members"
"Show on Browse Members";"Show on Browse Members"
"Show when no profile type has been selected";"Show when no profile type has been selected"
"Show on Member Profiles?";"Show on Member Profiles?"
"Show on Member Profiles";"Show on Member Profiles"
"Show on Member Profiles (with links)";"Show on Member Profiles (with links)"
"Hide on Member Profiles";"Hide on Member Profiles"
"Show on Signup/Creation?";"Show on Signup/Creation?"
"Show on signup/creation";"Show on signup/creation"
"Hide on signup/creation";"Hide on signup/creation"
"Save Question";"Save Question"
"Edit Store Info";"Edit Showroom Info"
"Edit the information of your store and keep it updated.";"Edit the information of your Showroom and keep it updated."
"Configure your store to showcase your offerings and connect to your customers.";"Configure your Showroom to showcase your offerings and connect to your customers."
" and if your store has $limit or more likes URL will be: <br /> <span id='store_url_address'>http://%s</span>";" and if your Showroom has $limit or more likes URL will be: <br /> <span id='store_url_address'>http://%s</span>"
"STORE-NAME";"SHOWROOM-NAME"
"URL";"URL"
"Please enter a valid store url.";"Please enter a valid Showroom url."
"Someone has already picked this store url, please use another one.";"Someone has already picked this Showroom url, please use another one."
"Profile addresses must start with a letter.";"Profile addresses must start with a letter."
"Tags (Keywords)";"Tags (Keywords)"
"Category";"Category"
"Main Photo";"Main Photo"
"Price ($currencyName)";"Price ($currencyName)"
"Status";"Status"
"Published";"Published"
"Saved As Draft";"Saved As Draft"
"If this entry is published, it cannot be switched back to draft mode.";"If this entry is published, it cannot be switched back to draft mode."
"View Privacy";"View Privacy"
"Who may see this store?";"Who may see this Showroom?"
"Comment Privacy";"Comment Privacy"
"Who may post comments on this store?";"Who may post comments on this Showroom?"
"Photo Creation Privacy";"Photo Creation Privacy"
"Who may upload photos for this store?";"Who may upload photos for this Showroom?"
"Documents Creation Privacy";"Documents Creation Privacy"
"Who may create documents for this store?";"Who may create documents for this Showroom?"
"Videos Creation Privacy";"Videos Creation Privacy"
"Who may create videos for this store?";"Who may create videos for this Showroom?"
"Polls Creation Privacy";"Polls Creation Privacy"
"Who may create polls for this store?";"Who may create polls for this Showroom?"
"Notes Creation Privacy";"Notes Creation Privacy"
"Who may create notes for this store?";"Who may create notes for this Showroom?"
"Event Creation Privacy";"Event Creation Privacy"
"Who may create events for this store?";"Who may create events for this Showroom?"
"Show ""Claim this Store"" link on this store.";"Show ""Claim this Showroom"" link on this Showroom."
"Show this store in search results.";"Show this Showroom in search results."
"Create";"Create"
"Contact information will be displayed in the Info section of your store profile.";"Contact information will be displayed in the Info section of your Showroom profile."
"Phone:";"Phone:"
"Email:";"Email:"
"Website:";"Website:"
"Save Details";"Save Details"
"<div class=""tip""><span>Admin has not choose any option to show contact detail.</span></div>";"<div class=""tip""><span>Admin has not choose any option to show contact detail.</span></div>"
"Claim this Store";"Claim this Showroom"
"Below, you can file a claim for this store on this community that you believe should be owned by you. Your request will be sent to the administration.";"Below, you can file a claim for this Showroom on this community that you believe should be owned by you. Your request will be sent to the administration."
"Your Name";"Your Name"
"Your Email";"Your Email"
"About You and the Store";"About You and the Showroom"
"Terms of Service";"Terms of Service"
"Below, you can file a claim for a store on this community that you believe should be owned by you. Your request will be sent to the administration.";"Below, you can file a claim for a Showroom on this community that you believe should be owned by you. Your request will be sent to the administration."
"Start typing the name of the store";"Start typing the name of the Showroom"
"You must agree to the terms of service to continue.";"You must agree to the terms of service to continue."
"Send";"Send"
"Edit Location";"Edit Location"
"Edit your location below, then click ""Save Location"" to save your location.";"Edit your location below, then click ""Save Location"" to save your location."
"Eg: Fairview Park, Berkeley, CA";"Eg: Fairview Park, Berkeley, CA"
"Save Location";"Save Location"
"Cannot create topic without store_id";"Cannot create topic without Showroom_id"
"Cannot create post without store_id";"Cannot create post without Showroom_id"
"invalid argument passed to setPhoto";"invalid argument passed to setPhoto"
"One-time fee of %1$s";"One-time fee of %1$s"
"%1$s for %2$s %3$s";"%1$s for %2$s %3$s"
"%1$s for forever";"%1$s for forever"
"Plugin class not instance of Engine_Payment_Gateway";"Plugin class not instance of Engine_Payment_Gateway"
"Gateways do not match";"Gateways do not match"
"Your payment has been cancelled and";"Your payment has been cancelled and"
"not been charged. If this is not correct, please try again later.";"not been charged. If this is not correct, please try again later."
"There was an error processing your";"There was an error processing your"
"transaction. Please try again later.";"transaction. Please try again later."
"There was an error processing your ";"There was an error processing your "
"Your payment could not be ";"Your payment could not be "
"completed. Please ensure there are sufficient available funds ";"completed. Please ensure there are sufficient available funds "
"in your account.";"in your account."
"Unknown order type for IPN";"Unknown order type for IPN"
"Unknown or unsupported IPN ";"Unknown or unsupported IPN "
"type, or missing transaction or order ID";"type, or missing transaction or order ID"
"pending";"pending"
"Your payment has been cancelled and not been charged. If this is not correct, please try again later.";"Your payment has been cancelled and not been charged. If this is not correct, please try again later."
"There was an error processing your transaction. Please try again later.";"There was an error processing your transaction. Please try again later."
"Your payment could not be completed. Please ensure there are sufficient available funds in your account.";"Your payment could not be completed. Please ensure there are sufficient available funds in your account."
"Your payment has been cancelled and not been charged. If this in not correct, please try again later.";"Your payment has been cancelled and not been charged. If this in not correct, please try again later."
"Unknown or unsupported IPN type, or missing transaction or order ID";"Unknown or unsupported IPN type, or missing transaction or order ID"
"Store Profile Overview";"Showroom Profile Overview"
"Displays rich overview on Store's profile, created by its admin using the editor from Store Dashboard. This should be placed in the Tabbed Blocks area of Store Profile.";"Displays rich overview on Showroom's profile, created by its admin using the editor from Showroom Dashboard. This should be placed in the Tabbed Blocks area of Showroom Profile."
"Store Profile";"Showroom Profile"
"Store Profile 'Save to my foursquare' button";"Showroom Profile 'Save to my foursquare' button"
"This Button will enable store visitors to add the Store\'s place or tip to their foursquare To-Do List, if the Store admin has entered its code. There is also Member Level and Package setting for this button.";"This Button will enable Showroom visitors to add the Showroom\'s place or tip to their foursquare To-Do List, if the Showroom admin has entered its code. There is also Member Level and Package setting for this button."
"Stores";"Showrooms"
"Categories";"Categories"
"Store admins";"Showroom admins"
"Enable Location for store main location.";"Enable Location for Showroom main location."
"Which all Stores related to the user do you want to display in this tab widget on their profile?";"Which all Showrooms related to the user do you want to display in this tab widget on their profile?"
"Stores Owned by the user. (Store Owner)";"Showrooms Owned by the user. (Showroom Owner)"
"Stores Administered by the user. (Store Admin)";"Showrooms Administered by the user. (Showroom Admin)"
"Profile Fields";"Profile Fields"
"Insights Email Settings";"Insights Email Settings"
"Insights Graph Settings";"Insights Graph Settings"
"Statistics";"Statistics"
"You have become an administrator of the store: {item:$object}.";"You have become an administrator of the Showroom: {item:$object}."
"Manage Claims";"Manage Claims"
"Import";"Import"
"FAQ";"FAQ"
"Edit Store Details";"Edit Showroom Details"
"Edit Store Overview";"Edit Showroom Overview"
"Share Store";"Share Showroom"
"Message Owner";"Message Owner"
"Print Store";"Print Showroom"
"Publish Store";"Publish Showroom"
"Add to My Store`s Favourites";"Add to My Showroom`s Favourites"
"Remove from My Store`s Favourites";"Remove from My Showroom`s Favourites"
"Close Store";"Close Showroom"
"Open Store";"Open Showroom"
"Delete Store";"Delete Showroom"
"Report Store";"Report Showroom"
"Promote with an Ad";"Promote with an Ad"
"Manage Packages";"Manage Packages"
"Claim a Store";"Claim a Showroom"
"Transactions";"Transactions"
"{item:$subject} created a new store:";"{item:$subject} created a new Showroom:"
"{item:$subject} commented on the store: {item:$object:$title} {body:$body}";"{item:$subject} commented on the Showroom: {item:$object:$title} {body:$body}"
"forever";"forever"
"Automobile";"Automobile"
"Bikes";"Bikes"
"Buses";"Buses"
"Cars";"Cars"
"Trucks";"Trucks"
"Jobs";"Jobs"
"Accounting";"Accounting"
"Advertising";"Advertising"
"Banking";"Banking"
"Engineering";"Engineering"
"Law";"Law"
"Movies - TV";"Movies - TV"
"Movie";"Movie"
"Theater Show";"Theater Show"
"TV Channel";"TV Channel"
"TV Show";"TV Show"
"Fashion";"Fashion"
"Accessories";"Accessories"
"Apparels";"Apparels"
"Jewelery";"Jewelery"
"Shoes";"Shoes"
"Watches";"Watches"
"Real Estate";"Real Estate"
"Apartments";"Apartments"
"Bungalows";"Bungalows"
"Commercial";"Commercial"
"Penthouses";"Penthouses"
"Plots";"Plots"
"Sports";"Sports"
"Athlete";"Athlete"
"Coach";"Coach"
"League";"League"
"Team";"Team"
"Travel";"Travel"
"Destinations";"Destinations"
"Guides";"Guides"
"Hotels";"Hotels"
"Operators";"Operators"
"Electronics";"Electronics"
"Air Conditioners";"Air Conditioners"
"Cameras";"Cameras"
"Mobile Phones";"Mobile Phones"
"Music Players";"Music Players"
"Refrigerators";"Refrigerators"
"Televisions";"Televisions"
"Places";"Places"
"Restaurants";"Restaurants"
"Theatres";"Theatres"
"Schools";"Schools"
"Hospitals";"Hospitals"
"Malls";"Malls"
"Default Type";"Default Type"
"Tube-less";"Tube-less"
"Normal";"Normal"
"Available";"Available"
"Not-available";"Not-available"
"Action";"Action"
"Comedy";"Comedy"
"Crime";"Crime"
"Documentary";"Documentary"
"Drama";"Drama"
"Family";"Family"
"Foreign";"Foreign"
"Horror";"Horror"
"Romance";"Romance"
"Sci-Fi";"Sci-Fi"
"Suspense";"Suspense"
"Teen";"Teen"
"War";"War"
"Store Main Navigation Menu";"Showroom Main Navigation Menu"
"Store Quick Navigation Menu";"Showroom Quick Navigation Menu"
"Store Profile Options Menu";"Showroom Profile Options Menu"
"Sitestore Insight Mail";"SiteShowroom Insight Mail"
"Sitestore Maintenance";"SiteShowroom Maintenance"
"Overall Length (mm)";"Overall Length (mm)"
"Overall Width (mm)";"Overall Width (mm)"
"Overall Height (mm)";"Overall Height (mm)"
"Mileage Highway (km/liter)";"Mileage Highway (km/liter)"
"Mileage City (km/liter)";"Mileage City (km/liter)"
"Mileage Overall (km/liter)";"Mileage Overall (km/liter)"
"Maximum Speed (kmph)";"Maximum Speed (kmph)"
"Wheel Type";"Wheel Type"
"Dimensions";"Dimensions"
"Power";"Power"
"Colors Available";"Colors Available"
"Opening Hours";"Opening Hours"
"Parking";"Parking"
"Specialty";"Specialty"
"Affiliation";"Affiliation"
"Awards";"Awards"
"Unit Area";"Unit Area"
"Basic Sale Price";"Basic Sale Price"
"Facilities";"Facilities"
"Color";"Color"
"Care Instructions";"Care Instructions"
"Genre";"Genre"
"Duration (mins)";"Duration (mins)"
"This field is hidden and only visible to you and admins:";"This field is hidden and only visible to you and admins:"
"Add Profile Question";"Add Profile Question"
"Show on the search options?";"Show on the search options?"
"I have read and agree to the <a href='javascript:void(0);' onclick=window.open('%s/storeitems/terms','mywindow',""width=500,height=500"")>terms of service</a>.";"I have read and agree to the <a href='javascript:void(0);' onclick=window.open('%s/Showroomitems/terms','mywindow',""width=500,height=500"")>terms of service</a>."
"Claimer Display Name";"Claimer Display Name"
"Display Name";"Display Name"
"Member Id";"Member Id"
"Claimer Name";"Claimer Name"
"About";"About"
"Contact Number";"Contact Number"
"Contact No.";"Contact No."
"Claimed Date";"Claimed Date"
"Creation Date";"Creation Date"
"details";"details"
"take action";"take action"
"delete";"delete"
"Delete the selected members?";"Delete the selected members?"
"Are you sure that you want to delete the %d members? These will not be recoverable after being deleted.";"Are you sure that you want to delete the %d members? These will not be recoverable after being deleted."
"Please select a member to be deleted.";"Please select a member to be deleted."
"Go Back";"Go Back"
"Note: Store Claims are disabled from Global Settings.";"Note: Showroom Claims are disabled from Global Settings."
"Add Member";"Add Member"
"Username";"Username"
"remove";"remove"
"Remove Selected";"Remove Selected"
"Delete the selected store claims?";"Delete the selected Showroom claims?"
"Are you sure that you want to delete the %d store claims? These will not be recoverable after being deleted.";"Are you sure that you want to delete the %d Showroom claims? These will not be recoverable after being deleted."
"Please select a store claim to be deleted.";"Please select a Showroom claim to be deleted."
"Remove";"Remove"
"Reset Layout of Store Profiles?";"Reset Layout of Showroom Profiles?"
"Are you sure you want to reset the layout of profiles of directory items / stores on your site to the one selected by you? The profile layouts of all the existing directory items / stores on your site will also be reset to the one selected by you.";"Are you sure you want to reset the layout of profiles of directory items / Showrooms on your site to the one selected by you? The profile layouts of all the existing directory items / Showrooms on your site will also be reset to the one selected by you."
"Continue";"Continue"
"Add Question";"Add Question"
"Profile Type Label";"Profile Type Label"
"EditProfile Type";"EditProfile Type"
"Add Profile Type";"Add Profile Type"
"Heading Name";"Heading Name"
"Add Heading";"Add Heading"
"Rename Profile Type";"Rename Profile Type"
"Delete Profile Type";"Delete Profile Type"
"Create New Profile Type";"Create New Profile Type"
"Save Order";"Save Order"
"Delete Selected";"Delete Selected"
"Are you sure you want to delete selected store offers ?";"Are you sure you want to delete selected Showroom offers ?"
"Widget Settings";"Widget Settings"
"Configure the settings for various widgets available with this plugin.";"Configure the settings for various widgets available with this plugin."
"After giving this permission members can edit categories but it can cause content loss like reviews rating data, profile type details etc.";"After giving this permission members can edit categories but it can cause content loss like reviews rating data, profile type details etc."
"General";"General"
"Claims";"Claims"
"_fl";"Language"
"Browse the different FAQ sections of this plugin by clicking on the corresponding tabs below.";"Browse the different FAQ sections of this plugin by clicking on the corresponding tabs below."
"and many more.";"and many more."
"Customize";"Customize"
"Activity Feed";"Activity Feed"
"Are you sure you want to delete selected stores ?";"Are you sure you want to delete selected Showrooms ?"
"Open/Closed";"Open/Closed"
"Subcategory";"Subcategory"
"Payment";"Payment"
"O/C";"O/C"
"Expiration Date";"Expiration Date"
"NA (Free)";"NA (Free)"
"Make Dis-Approved";"Make Dis-Approved"
"Make Approved";"Make Approved"
"Make Un-featured";"Make Un-featured"
"Make Featured";"Make Featured"
"Make Unsponsored";"Make Unsponsored"
"Make Sponsored";"Make Sponsored"
"Un-featured";"Un-featured"
"Unsponsored";"Unsponsored"
"Make Closed";"Make Closed"
"Make Open";"Make Open"
"edit";"edit"
"renew";"renew"
"change category";"change category"
"change owner";"change owner"
"badge";"badge"
"Title:";"Title:"
"Owner:";"Owner:"
"Total Admins:";"Total Admins:"
"Category:";"Category:"
"Subcategory:";"Subcategory:"
"Creation Date:";"Creation Date:"
"Approved:";"Approved:"
"Approved Date:";"Approved Date:"
"Featured:";"Featured:"
"Sponsored:";"Sponsored:"
"Price:";"Price:"
"Location:";"Location:"
"Views:";"Views:"
"Rating:";"Rating:"
" rating";" rating"
"Albums";"Albums"
"%s photo";"%s photo";"%s photos"
"%1$s  &raquo; ";"%1$s  &raquo; "
" &raquo;  %2$s";" &raquo;  %2$s"
"Untitled";"Untitled"
"Suggest to Friends";"Suggest to Friends"
"View Albums";"View Albums"
"Add More Photos";"Add More Photos"
"Manage Photos";"Manage Photos"
"Last";"Last"
"Next";"Next"
"Prev";"Prev"
"First";"First"
"&raquo; ";"&raquo; "
"Edit Photos";"Edit Photos"
"Here, you can edit photos of this album.";"Here, you can edit photos of this album."
"Previous";"Previous"
"By Week";"By Week"
"Week";"Week"
"Year";"Year"
"Forever";"Forever"
"By Month";"By Month"
"View Store";"View Showroom"
"Dashboard:";"Dashboard:"
"Dashboard: ";"Dashboard: "
"Monthly Active Users";"Monthly Active Users"
"Store Insights";"Showroom Insights"
"Use the below filter to observe various metrics of your store over different time periods.";"Use the below filter to observe various metrics of your Showroom over different time periods."
"View Store Report";"View Showroom Report"
"Generate Another Report";"Generate Another Report"
"Time Summary";"Time Summary"
" to ";" to "
"<span> %s </span> View";"<span> %s </span> View";"<span> %s </span> Views"
"<span> %s </span> Like";"<span> %s </span> Like";"<span> %s </span> Likes"
"<span> %s </span> Comment";"<span> %s </span> Comment";"<span> %s </span> Comments"
"There are no activities found in the selected date range.";"There are no activities found in the selected date range."
"Your changes have been saved successfully.";"Your changes have been saved successfully."
"Error: no values";"Error: no values"
" - All unsaved changes to stores or widgets will be lost - ";" - All unsaved changes to Showrooms or widgets will be lost - "
"Any unsaved changes will be lost. Are you sure you want to leave this store?";"Any unsaved changes will be lost. Are you sure you want to leave this Showroom?"
"Your changes to this store have been saved.";"Your changes to this Showroom have been saved."
"Changing to this layout will cause %s area(s) containing widgets to be destroyed. Are you sure you want to continue?";"Changing to this layout will cause %s area(s) containing widgets to be destroyed. Are you sure you want to continue?"
"Tabbed Blocks";"Tabbed Blocks"
"hide on this store";"hide on this Showroom"
"Are you sure you want to delete this store?";"Are you sure you want to delete this Showroom?"
