"Visit your Insights Store";"Visit your Insights Showroom"
"Your action has been submitted and email successfully sent to the claimer.";"Your action has been submitted and email successfully sent to the claimer."
"Mapping deleted successfully !";"Mapping deleted successfully !"
"Title";"Title"
"Package";"Package"
"Overdue";"Overdue"
"Refunded";"Refunded"
"Cancelled";"Cancelled"
"Yes";"Yes"
"No";"No"
"Payment Status";"Payment Status"
"Closed";"Closed"
"Featured";"Featured"
"Sponsored";"Sponsored"
"Save Changes";"Save Changes"
" or ";" or "
"Import a File";"Import a File"
"Add a CSV file to import Stores corresponding to the entries in it, then click 'Submit'. Below, you can also set the privacy of those Stores";"Add a CSV file to import Showrooms corresponding to the entries in it, then click 'Submit'. Below, you can also set the privacy of those Showrooms"
"Import File";"Import File"
"Who may see these stores?";"Who may see these Showrooms?"
"Who may post comments on these stores?";"Who may post comments on these Showrooms?"
"File Columns Separator";"File Columns Separator"
"Select a separator from below which you are using for the columns of the CSV file.";"Select a separator from below which you are using for the columns of the CSV file."
"Pipe ('|')";"Pipe ('|')"
"Comma (',')";"Comma (',')"
"Show 10 Lines";"Show 10 Lines"
"Show 50 Lines";"Show 50 Lines"
"Show 100 Lines";"Show 100 Lines"
"Show 500 Lines";"Show 500 Lines"
"Show 1000 Lines";"Show 1000 Lines"
"Show 5000 Lines";"Show 5000 Lines"
"Show 10000 Lines";"Show 10000 Lines"
"Show 50000 Lines";"Show 50000 Lines"
"View History";"View History"
"Clear History";"Clear History"
"can't open file";"can't open file"
"Listing with ID ";"Listing with ID "
" is successfully imported into a Store with ID ";" is successfully imported into a Showroom with ID "
" at ";" at "
". Title of that Store is '";". Title of that Showroom is '"
"Invalid file extension. Only 'csv' extension is allowed.";"Invalid file extension. Only 'csv' extension is allowed."
"CSV file has been imported succesfully !";"CSV file has been imported succesfully !"
"Import History of '";"Import History of '"
"' with file id: ";"' with file id: "
", created on ";", created on "
" is given below.";" is given below."
"Successfully created a new store at ";"Successfully created a new Showroom at "
". ID and title of that Store are ";". ID and title of that Showroom are "
" and '";" and '"
"' respectively.";"' respectively."
"Importing is done successfully !";"Importing is done successfully !"
"Rollbacked successfully !";"Rollbacked successfully !"
"Import data has been deleted successfully !";"Import data has been deleted successfully !"
"Please select a file to view.";"Please select a file to view."
"Enabled";"Enabled"
"Search";"Search"
"Do you want to enable 'Save to foursquare' buttons for the stores created by members of this level? (Using this, 'Save to foursquare' buttons will be shown on profiles of stores having location information. These buttons will enable store visitors to add the store's place or tip to their foursquare To-Do List. Store Admins will get this option in the ""Marketing"" section of their Dashboard.)";"Do you want to enable 'Save to foursquare' buttons for the Showrooms created by members of this level? (Using this, 'Save to foursquare' buttons will be shown on profiles of Showrooms having location information. These buttons will enable Showroom visitors to add the Showroom's place or tip to their foursquare To-Do List. Showroom Admins will get this option in the ""Marketing"" section of their Dashboard.)"
"Graph Settings for Insights";"Graph Settings for Insights"
"Email Settings for Insights";"Email Settings for Insights"
"Email ID for Testing";"Email ID for Testing"
"Gateway";"Gateway"
"Type";"Type"
"Option";"Option"
"Select a default view type for Directory Items / Stores on the Stores Home Widget and Browse Stores.";"Select a default view type for Directory Items / Showrooms on the Showrooms Home Widget and Browse Showrooms."
"Default View on Stores Home Widget and Browse Stores";"Default View on Showrooms Home Widget and Browse Showrooms"
"General Settings";"General Settings"
"Configure the general settings for various widgets available with this plugin.";"Configure the general settings for various widgets available with this plugin."
"Featured Stores Slideshow Widget";"Featured Showrooms Slideshow Widget"
"How many directory items / stores will be shown in the featured stores slideshow widget? Note that out of all the featured stores, these many stores will be picked up randomly to be shown in the slideshow (value can not be empty or zero) ?";"How many directory items / Showrooms will be shown in the featured Showrooms slideshow widget? Note that out of all the featured Showrooms, these many Showrooms will be picked up randomly to be shown in the slideshow (value can not be empty or zero) ?"
"Sponsored Stores Carousel Widget";"Sponsored Showrooms Carousel Widget"
"How many directory items / stores will be shown in one view of the sponsored stores carousel widget? Note that this carousel is AJAX based and users will be able to browse through all the sponsored stores (value can not be empty or zero) ?";"How many directory items / Showrooms will be shown in one view of the sponsored Showrooms carousel widget? Note that this carousel is AJAX based and users will be able to browse through all the sponsored Showrooms (value can not be empty or zero) ?"
"Sponsored Carousel Speed";"Sponsored Carousel Speed"
"What maximum Carousel Speed should be applied to the sponsored widget?";"What maximum Carousel Speed should be applied to the sponsored widget?"
"Title Truncation Limit For Sponsored Items Widget";"Title Truncation Limit For Sponsored Items Widget"
"What maximum limit should be applied to the number of characters in the titles of items in the Sponsored widgets? (Enter a number between 1 and 999. Titles having more characters than this limit will be truncated. Complete titles will be shown on mouseover.)";"What maximum limit should be applied to the number of characters in the titles of items in the Sponsored widgets? (Enter a number between 1 and 999. Titles having more characters than this limit will be truncated. Complete titles will be shown on mouseover.)"
"Most Commented Stores Widget";"Most Commented Showrooms Widget"
"How many directory items / stores will be shown in the most commented stores widget (value can not be empty or zero) ?";"How many directory items / Showrooms will be shown in the most commented Showrooms widget (value can not be empty or zero) ?"
"Most Liked Stores Widget";"Most Liked Showrooms Widget"
"How many directory items / stores will be shown in the most liked stores widget (value can not be empty or zero) ?";"How many directory items / Showrooms will be shown in the most liked Showrooms widget (value can not be empty or zero) ?"
"Store Profile Owner Stores Widget";"Showroom Profile Owner Showrooms Widget"
"How many directory items / stores will be shown in the store profile owner stores widget (value can not be empty or zero) ?";"How many directory items / Showrooms will be shown in the Showroom profile owner Showrooms widget (value can not be empty or zero) ?"
"Views on Stores Home and Browse Stores";"Views on Showrooms Home and Browse Showrooms"
"Choose the view types that you want to be available for stores on the stores home and browse stores.";"Choose the view types that you want to be available for Showrooms on the Showrooms home and browse Showrooms."
"Ajax Tabs of Main Stores Home Widget";"Ajax Tabs of Main Showrooms Home Widget"
"Choose the ajax tabs that you want to be there in the Main Stores Home Widget.";"Choose the ajax tabs that you want to be there in the Main Showrooms Home Widget."
"Recent";"Recent"
