"Search for...";"Search products you are looking for.."
"No, do not allow members to delete their polls.";"No, do not allow consumers to delete their polls."
"Yes, allow members to delete their own polls.";"Yes, allow consumers to delete their own polls."
"Yes, allow members to delete all polls.";"Yes, allow consumers to delete all polls."
"Do you want to allow members to create polls?";"Do you want to allow consumers to create polls?"
"No, do not allow this member level to create polls";"No, do not allow this consumer level to create polls"
"Yes, allow this member level to create polls";"Yes, allow this consumer level to create polls"
"POLL_FORM_ADMIN_LEVEL_AUTHVIEW_DESCRIPTION";"Your consumers can choose from any of the options checked below when they decide who can see their poll. If you do not check any options, settings will default to the last saved configuration. If you select only one option, consumers of this level will not have a choice."
"POLL_FORM_ADMIN_LEVEL_AUTHCOMMENT_DESCRIPTION";"Your consumers can choose from any of the options checked below when they decide who can post comments on their poll. If you do not check any options, settings will default to the last saved configuration. If you select only one option, consumers of this level will not have a choice."
"Do you want to permit your members to change their vote?";"Do you want to permit your consumers to change their vote?"
"Yes, members can change their vote.";"Yes, consumers can change their vote."
"No, members cannot change their vote.";"No, consumers cannot change their vote."
"Do you want to let members edit polls? If set to no, some other settings on this page may not apply.";"Do you want to let consumers edit polls? If set to no, some other settings on this page may not apply."
"Yes, allow members to edit their own polls.";"Yes, allow consumers to edit their own polls."
"No, do not allow members to edit their polls.";"No, do not allow consumers to edit their polls."
"Do you want to let members of this level comment on polls?";"Do you want to let consumers of this level comment on polls?"
"Yes, allow members to comment on polls.";"Yes, allow consumers to comment on polls."
"No, do not allow members to comment on polls.";"No, do not allow consumers to comment on polls."
"Member's Recommendation: <b>Yes</b>";"Consumer's Recommendation: <b>Yes</b>"
"Member's Recommendation: <b>No</b>";"Consumer's Recommendation: <b>No</b>"
"<b>Member's Recommendation:</b> Yes";"<b>Consumer's Recommendation:</b> Yes"
"<b>Member's Recommendation:</b> No";"<b>Consumer's Recommendation:</b> No"
"members";"consumers"
" members";"consumers"
"_EMAIL_SITESTOREREVIEW_CREATENOTIFICATION_EMAIL_DESCRIPTION";"This email goes to the owner and showroom admin of the Showroom when consumer create a showroom review in showroom."
"This group has %s member.";"This group has %s consumer.";"This group has %s consumers."
"%s member";"%s consumer";"%s consumers"
"%s total member";"%s total consumer";"%s total consumers"
